1,1,1,1,1,1,1,1/1,0,0,0,0,0,0,1/1,0,7,0,0,6,0,1/1,0,0,0,0,0,0,1/1,1,1,1,1,0,0,1/1,0,0,0,1,0,6,1/1,0,6,0,1,0,0,1/1,0,0,0,1,0,0,1/1,0,6,0,1,0,0,1/1,0,0,0,1,0,6,1/1,0,0,1,1,0,0,1/1,0,0,0,0,8,0,1/1,0,0,0,0,0,0,1/1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1/1,0,0,0,4,0,5,1/1,0,7,0,4,0,5,1/1,0,0,0,4,0,5,1/1,1,1,1,1,0,0,1/1,0,0,0,1,0,0,1/1,0,8,0,1,0,0,1/1,0,0,0,1,5,5,1/1,0,0,0,1,12.2,12.2,1/1,0,0,1,1,0,0,1/1,0,1,1,0,0,0,1/1,0,4,12.3,0,4,0,1/1,0,5,12.3,0,0,0,1/1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1/1,0,0,1,0,3,0,1/1,8,0,1,4,4,4,1/1,0,6,1,0,0,0,1/1,0,0,2,0,0,0,1/1,1,1,1,0,0,0,1/1,0,0,12.3,0,0,0,1/1,0,0,1,1,1,2,1/1,0,0,1,0,0,0,1/1,1,1,1,0,0,0,1/0,5,0,0,0,7,0,1/3,5,0,0,0,4,4,1/0,5,0,0,0,4,0,1/1,1,1,1,1,1,1,1
0,0,0,0,5,5,5,0/0,6,0,1,4,0,4,12.3/12.2,1,1,1,4,13,4,12.3/4,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0/5,0,0,0,0,0,0,0/6,5,0,0,0,0,8,0/5,0,0,0,0,9.45,4,4/0,0,0,0,0,0,4,4/1,2,1,1,1,1,1,1/0,12.0,7,0,0,4,4,3/0,0,9.7,0,0,0,4,6/4,4,0,0,0,4,4,0/0,4,0,0,5,1,1,5
1,1,1,1,1,1,1,1/1,0,0,0,4,7,0,1/1,6,1,1,5,4,0,1/1,0,0,0,4,5,4,1/1,0,4,0,6,4,0,1/1,3,1,0,0,4,5,1/1,1,1,1,1,1,2,1/1,0,0,4,0,12.3,0,1/1,0,8,1,0,1,12.2,1/1,1,0,12.1,0,0,0,1/1,1,0,12.1,0,0,4,1/1,0,6,5,0,4,0,1/1,0,0,0,4,0,0,1/1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1/0,0,1,0,0,5,4,5/0,0,2,4,7,9.25,5,0/6,0,1,0,12.0,0,0,0/0,0,1,5,0,0,0,4/4,0,1,0,4,0,0,5/0,4,1,0,0,0,4,1/0,0,1,1,4,4,4,1/0,0,5,1,4,6,3,1/0,0,0,1,1,12.0,12.0,1/0,0,0,5,6,0,0,1/0,0,4,1,0,8,0,1/5,4,5,1,0,0,0,1/1,1,1,1,1,1,1,1
0,0,2,0,1,1,1,3/0,0,1,0,1,0,0,5/4,4,1,0,2,0,4,0/5,5,1,0,1,6,0,4/4,0,1,0,1,1,1,1/0,0,1,0,1,4,4,0/8,1,0,4,5,1,1,0/1,1,5,7,0,1,1,5/1,3,4,4,4,0,1,1/1,1,0,0,0,0,1,1/1,1,4,4,0,0,1,6/0,0,0,0,4,5,1,5/1,1,1,1,2,1,1,4/1,1,1,3,0,0,0,0
0,0,0,6,1,0,0,0/0,4,0,1,0,0,3,5/4,0,4,1,0,4,4,0/0,4,0,1,0,4,5,0/0,6,0,1,4,4,0,0/0,0,0,2,0,0,0,5/1,1,1,1,0,0,1,0/0,0,6,5,4,1,0,0/1,1,0,4,7,4,0,0/0,0,0,0,4,0,0,0/0,0,0,1,0,1,0,0/0,0,0,1,8,1,5,4/4,4,0,0,1,0,0,6/6,0,5,0,0,0,0,0
0,0,0,1,0,1,1,0/0,7,0,0,4,0,8,0/0,0,0,1,0,0,1,5/0,0,0,1,3,0,1,1/0,4,4,1,5,1,4,4/0,4,0,1,0,0,0,4/4,0,0,1,0,6,0,0/1,0,1,1,0,0,5,0/0,0,0,0,0,5,4,0/0,0,0,0,0,0,0,0/1,2,1,0,6,0,0,0/0,0,5,0,0,1,1,4/0,6,5,0,0,1,6,0/6,0,1,0,0,4,0,0
0,0,1,8,1,1,1,1/0,6,1,2,1,0,6,0/4,0,5,5,0,4,4,4/0,0,1,0,1,0,0,0/4,0,1,0,1,0,4,0/0,4,1,0,1,0,5,4/0,0,1,0,1,5,0,0/0,0,4,7,4,0,0,0/6,4,1,4,1,0,0,0/1,1,1,0,1,1,1,1/6,5,1,0,5,4,0,3/4,0,0,0,4,0,4,0/0,4,0,0,5,4,0,0/0,0,4,0,4,0,4,6
